域名,状态,过期日期,剩余天数,备注
8x.uk,registered,30-Oct-2026,354,正常注册
8y.uk,suspended,14-Sep-2025,-57,已暂停，可能即将删除
8z.uk,registered,01-Jul-2026,233,正常注册
90.uk,registered,27-Jun-2026,229,正常注册
91.uk,registered,04-Jul-2026,236,正常注册
92.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
93.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
94.uk,registered,04-Jul-2026,236,正常注册
95.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
96.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
97.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
98.uk,registered,28-Oct-2026,352,正常注册
99.uk,registered,05-Nov-2027,725,正常注册
9a.uk,registered,11-Feb-2027,458,正常注册
9b.uk,registered,30-Oct-2026,354,正常注册
9c.uk,registered,30-Oct-2026,354,正常注册
9d.uk,registered,30-Oct-2026,354,正常注册
9e.uk,registered,30-Oct-2026,354,正常注册
9f.uk,registered,30-Oct-2026,354,正常注册
9g.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
9h.uk,registered,16-May-2026,187,正常注册
9i.uk,registered,30-Oct-2026,354,正常注册
9j.uk,registered,30-Oct-2026,354,正常注册
9k.uk,registered,30-Oct-2026,354,正常注册
9l.uk,suspended,14-Sep-2025,-57,已暂停，可能即将删除
9m.uk,registered,14-Sep-2026,308,正常注册
9n.uk,registered,14-Sep-2029,1404,正常注册
9o.uk,expiring_soon,28-Nov-2025,18,即将到期（18天）
9p.uk,registered,14-Sep-2026,308,正常注册
9q.uk,suspended,14-Sep-2025,-57,已暂停，可能即将删除
9r.uk,suspended,14-Sep-2025,-57,已暂停，可能即将删除
9s.uk,registered,14-Sep-2029,1404,正常注册
9t.uk,registered,10-Feb-2027,457,正常注册
9u.uk,registered,14-Sep-2029,1404,正常注册
9v.uk,expiring_soon,28-Nov-2025,18,即将到期（18天）
9w.uk,suspended,14-Sep-2025,-57,已暂停，可能即将删除
9x.uk,registered,11-Dec-2026,396,正常注册
9y.uk,registered,14-Sep-2027,673,正常注册
9z.uk,registered,01-Jul-2026,233,正常注册
a0.uk,registered,17-Oct-2026,341,正常注册
a1.uk,registered,28-Mar-2026,138,正常注册
a2.uk,registered,14-Aug-2027,642,正常注册
a3.uk,registered,14-Aug-2027,642,正常注册
a4.uk,registered,14-Aug-2027,642,正常注册
a5.uk,registered,14-Aug-2027,642,正常注册
a6.uk,registered,14-Aug-2027,642,正常注册
a7.uk,registered,14-Aug-2027,642,正常注册
a8.uk,registered,24-Jun-2027,591,正常注册
a9.uk,registered,01-Aug-2026,264,正常注册
aa.uk,registered,26-Jun-2026,228,正常注册
ab.uk,registered,11-Jun-2026,213,正常注册
ac.uk,registered,,,状态未知但已注册
ad.uk,registered,20-Jun-2027,587,正常注册
ae.uk,registered,19-Jun-2026,221,正常注册
af.uk,registered,03-Jul-2026,235,正常注册
ag.uk,registered,16-Jun-2026,218,正常注册
ah.uk,registered,19-Aug-2026,282,正常注册
ai.uk,registered,11-Jun-2026,213,正常注册
aj.uk,registered,08-Jul-2026,240,正常注册
ak.uk,registered,08-Jul-2026,240,正常注册
al.uk,registered,18-Aug-2026,281,正常注册
am.uk,registered,21-Apr-2026,162,正常注册
an.uk,registered,01-May-2029,1268,正常注册
ao.uk,registered,19-Jun-2026,221,正常注册
ap.uk,registered,08-Jul-2026,240,正常注册
aq.uk,registered,09-Jul-2026,241,正常注册
ar.uk,registered,18-Aug-2031,2107,正常注册
as.uk,registered,08-Jul-2026,240,正常注册
at.uk,registered,10-Jun-2026,212,正常注册
au.uk,registered,05-Aug-2030,1729,正常注册
av.uk,registered,24-Sep-2027,683,正常注册
aw.uk,registered,10-Jun-2026,212,正常注册
ax.uk,registered,10-Jun-2032,2404,正常注册
ay.uk,registered,29-Nov-2031,2210,正常注册
az.uk,registered,11-Jun-2026,213,正常注册
b0.uk,registered,03-May-2026,174,正常注册
b1.uk,registered,30-Jun-2026,232,正常注册
b2.uk,registered,01-Nov-2028,1087,正常注册
b3.uk,registered,31-Jul-2027,628,正常注册
b4.uk,expiring_soon,11-Dec-2025,31,即将到期（31天）
b5.uk,expiring_soon,26-Jan-2026,77,即将到期（77天）
b6.uk,expiring_soon,26-Jan-2026,77,即将到期（77天）
b7.uk,expiring_soon,26-Jan-2026,77,即将到期（77天）
b8.uk,registered,17-Oct-2026,341,正常注册
b9.uk,expiring_soon,26-Jan-2026,77,即将到期（77天）
ba.uk,registered,20-Jun-2026,222,正常注册
bb.uk,registered,05-Apr-2035,3433,正常注册
bc.uk,registered,21-Nov-2033,2933,正常注册
bd.uk,registered,12-Jun-2034,3136,正常注册
be.uk,registered,11-Jun-2026,213,正常注册
bf.uk,registered,03-Sep-2026,297,正常注册
bg.uk,registered,27-Mar-2026,137,正常注册
bh.uk,registered,08-Jul-2026,240,正常注册
bi.uk,registered,08-Jul-2026,240,正常注册
bj.uk,registered,14-Mar-2026,124,正常注册
bk.uk,registered,19-Jun-2027,586,正常注册
bl.uk,expiring_soon,07-Nov-2025,-3,即将到期（-3天）
bm.uk,registered,10-Jun-2032,2404,正常注册
bn.uk,registered,25-Apr-2027,531,正常注册
bo.uk,registered,02-Nov-2026,357,正常注册
bp.uk,registered,10-Jun-2026,212,正常注册
bq.uk,registered,12-Nov-2034,3289,正常注册
br.uk,registered,31-Jul-2026,263,正常注册
bs.uk,registered,26-Nov-2028,1112,正常注册
bt.uk,registered,04-Jul-2026,236,正常注册
bu.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
bv.uk,registered,10-Jun-2032,2404,正常注册
bw.uk,registered,27-Mar-2027,502,正常注册
bx.uk,registered,10-Jun-2032,2404,正常注册
by.uk,registered,03-Sep-2026,297,正常注册
bz.uk,registered,29-May-2027,565,正常注册
c0.uk,registered,27-Jun-2026,229,正常注册
c1.uk,registered,24-Jun-2026,226,正常注册
c2.uk,registered,26-Sep-2026,320,正常注册
c3.uk,registered,24-Oct-2026,348,正常注册
c4.uk,registered,19-Jun-2026,221,正常注册
c5.uk,registered,19-Jun-2026,221,正常注册
c6.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
c7.uk,registered,02-Jul-2026,234,正常注册
c8.uk,registered,31-Mar-2026,141,正常注册
c9.uk,registered,19-Jun-2026,221,正常注册
ca.uk,registered,05-Aug-2026,268,正常注册
cb.uk,registered,10-Jun-2027,577,正常注册
cc.uk,registered,17-Feb-2026,99,正常注册
cd.uk,registered,04-Jan-2031,1881,正常注册
ce.uk,registered,02-Jul-2035,3521,正常注册
cf.uk,registered,10-Jun-2032,2404,正常注册
cg.uk,registered,08-Jul-2026,240,正常注册
ch.uk,registered,08-Jul-2026,240,正常注册
ci.uk,registered,10-Jun-2032,2404,正常注册
cj.uk,registered,10-Jun-2032,2404,正常注册
ck.uk,registered,10-Jun-2026,212,正常注册
cl.uk,registered,10-Jul-2026,242,正常注册
cm.uk,registered,20-Oct-2026,344,正常注册
cn.uk,registered,17-Aug-2026,280,正常注册
co.uk,registered,,,状态未知但已注册
cp.uk,registered,23-Jul-2026,255,正常注册
cq.uk,registered,10-Jun-2032,2404,正常注册
cr.uk,registered,05-Aug-2026,268,正常注册
cs.uk,registered,10-Jun-2032,2404,正常注册
ct.uk,registered,10-Jun-2026,212,正常注册
cu.uk,registered,27-Jul-2026,259,正常注册
cv.uk,registered,12-Jun-2026,214,正常注册
cw.uk,registered,08-Jul-2026,240,正常注册
cx.uk,registered,28-Aug-2035,3578,正常注册
cy.uk,registered,10-Jun-2032,2404,正常注册
cz.uk,registered,10-Jun-2032,2404,正常注册
d0.uk,registered,03-May-2026,174,正常注册
d1.uk,registered,24-Jun-2026,226,正常注册
d2.uk,registered,10-Feb-2027,457,正常注册
d3.uk,registered,13-Jun-2027,580,正常注册
d4.uk,registered,30-Oct-2026,354,正常注册
d5.uk,registered,30-Oct-2027,719,正常注册
d6.uk,registered,30-Oct-2026,354,正常注册
d7.uk,registered,30-Oct-2026,354,正常注册
d8.uk,registered,01-Dec-2026,386,正常注册
d9.uk,registered,30-Oct-2026,354,正常注册
da.uk,registered,08-Jul-2026,240,正常注册
db.uk,registered,11-Jun-2026,213,正常注册
dc.uk,registered,08-Jul-2026,240,正常注册
dd.uk,registered,25-Jun-2026,227,正常注册
de.uk,registered,31-Jul-2026,263,正常注册
df.uk,registered,08-Jul-2026,240,正常注册
dg.uk,registered,10-Jun-2030,1673,正常注册
dh.uk,registered,08-Jul-2026,240,正常注册
di.uk,registered,11-Jun-2026,213,正常注册
dj.uk,registered,28-May-2033,2756,正常注册
dk.uk,registered,25-Jun-2026,227,正常注册
dl.uk,registered,25-Jun-2026,227,正常注册
dm.uk,registered,03-Jun-2026,205,正常注册
dn.uk,registered,10-Jun-2032,2404,正常注册
do.uk,registered,07-Sep-2026,301,正常注册
dp.uk,registered,02-May-2026,173,正常注册
dq.uk,registered,10-Jun-2032,2404,正常注册
dr.uk,registered,10-Jun-2032,2404,正常注册
ds.uk,suspended,03-Sep-2025,-68,已暂停，可能即将删除
dt.uk,registered,10-Jun-2032,2404,正常注册
du.uk,registered,10-Jun-2032,2404,正常注册
dv.uk,registered,19-Aug-2026,282,正常注册
dw.uk,registered,08-Jul-2026,240,正常注册
dx.uk,registered,28-Nov-2034,3305,正常注册
dy.uk,registered,10-Jun-2032,2404,正常注册
dz.uk,registered,10-Jun-2032,2404,正常注册
e0.uk,registered,03-May-2026,174,正常注册
e1.uk,registered,24-Jun-2026,226,正常注册
e2.uk,registered,11-Oct-2026,335,正常注册
e3.uk,registered,10-Sep-2026,304,正常注册
e4.uk,registered,18-Jun-2026,220,正常注册
e5.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
e6.uk,expiring_soon,20-Nov-2025,10,即将到期（10天）
e7.uk,registered,30-Oct-2027,719,正常注册
e8.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
e9.uk,registered,05-Oct-2027,694,正常注册
ea.uk,registered,10-Jul-2026,242,正常注册
eb.uk,registered,17-Jul-2026,249,正常注册
ec.uk,registered,19-Sep-2026,313,正常注册
ed.uk,registered,10-Jun-2027,577,正常注册
ee.uk,registered,20-Jun-2026,222,正常注册
ef.uk,registered,10-Jun-2026,212,正常注册
eg.uk,registered,10-Jun-2027,577,正常注册
