域名,状态,过期日期,剩余天数,备注
3g.cz,registered,21.10.2026,345,正常注册，345天后到期
3h.cz,registered,02.07.2026,234,正常注册，234天后到期
3i.cz,registered,20.08.2026,283,正常注册，283天后到期
3j.cz,registered,29.03.2026,139,正常注册，139天后到期
3k.cz,registered,05.12.2026,390,正常注册，390天后到期
3l.cz,expiring_soon,03.01.2026,54,即将到期（54天）
3m.cz,registered,07.10.2026,331,正常注册，331天后到期
3n.cz,registered,21.05.2026,192,正常注册，192天后到期
3o.cz,registered,12.05.2026,183,正常注册，183天后到期
3p.cz,registered,12.10.2026,336,正常注册，336天后到期
3q.cz,registered,31.01.2026,82,正常注册，82天后到期
3r.cz,registered,09.09.2026,303,正常注册，303天后到期
3s.cz,registered,27.10.2026,351,正常注册，351天后到期
3t.cz,registered,02.02.2026,84,正常注册，84天后到期
3u.cz,registered,31.01.2026,82,正常注册，82天后到期
3v.cz,registered,11.10.2030,1796,正常注册，1796天后到期
3w.cz,registered,28.11.2026,383,正常注册，383天后到期
3x.cz,registered,29.07.2026,261,正常注册，261天后到期
3y.cz,registered,21.04.2026,162,正常注册，162天后到期
3z.cz,registered,20.11.2029,1471,正常注册，1471天后到期
40.cz,registered,24.04.2026,165,正常注册，165天后到期
41.cz,registered,04.04.2026,145,正常注册，145天后到期
42.cz,registered,13.06.2030,1676,正常注册，1676天后到期
43.cz,expiring_soon,27.12.2025,47,即将到期（47天）
44.cz,registered,20.10.2026,344,正常注册，344天后到期
45.cz,registered,06.03.2026,116,正常注册，116天后到期
46.cz,registered,06.04.2026,147,正常注册，147天后到期
47.cz,registered,24.09.2026,318,正常注册，318天后到期
48.cz,registered,21.02.2026,103,正常注册，103天后到期
49.cz,registered,20.02.2026,102,正常注册，102天后到期
4a.cz,registered,27.12.2026,412,正常注册，412天后到期
4b.cz,registered,05.06.2026,207,正常注册，207天后到期
4c.cz,registered,31.07.2026,263,正常注册，263天后到期
4d.cz,registered,16.11.2026,371,正常注册，371天后到期
4e.cz,registered,13.09.2026,307,正常注册，307天后到期
4f.cz,registered,13.03.2026,123,正常注册，123天后到期
4g.cz,registered,21.08.2026,284,正常注册，284天后到期
4h.cz,expiring_soon,20.12.2025,40,即将到期（40天）
4i.cz,registered,18.04.2026,159,正常注册，159天后到期
4j.cz,registered,21.04.2027,527,正常注册，527天后到期
4k.cz,expiring_soon,30.11.2025,20,即将到期（20天）
4l.cz,registered,30.01.2026,81,正常注册，81天后到期
4m.cz,registered,03.08.2026,266,正常注册，266天后到期
4n.cz,expiring_soon,03.01.2026,54,即将到期（54天）
4o.cz,registered,21.04.2026,162,正常注册，162天后到期
4p.cz,expiring_soon,07.12.2025,27,即将到期（27天）
4q.cz,registered,13.11.2026,368,正常注册，368天后到期
4r.cz,registered,24.09.2026,318,正常注册，318天后到期
4s.cz,registered,28.12.2027,778,正常注册，778天后到期
4t.cz,registered,22.05.2027,558,正常注册，558天后到期
4u.cz,registered,28.10.2026,352,正常注册，352天后到期
4v.cz,registered,31.01.2026,82,正常注册，82天后到期
4w.cz,registered,17.08.2026,280,正常注册，280天后到期
4x.cz,registered,24.03.2026,134,正常注册，134天后到期
4y.cz,registered,24.03.2026,134,正常注册，134天后到期
4z.cz,registered,31.01.2026,82,正常注册，82天后到期
50.cz,registered,07.07.2026,239,正常注册，239天后到期
51.cz,registered,24.02.2032,2297,正常注册，2297天后到期
52.cz,registered,05.07.2026,237,正常注册，237天后到期
53.cz,registered,24.09.2026,318,正常注册，318天后到期
54.cz,registered,30.08.2026,293,正常注册，293天后到期
55.cz,registered,07.10.2026,331,正常注册，331天后到期
56.cz,registered,24.09.2026,318,正常注册，318天后到期
57.cz,registered,24.09.2026,318,正常注册，318天后到期
58.cz,registered,24.02.2027,471,正常注册，471天后到期
59.cz,registered,24.05.2026,195,正常注册，195天后到期
5a.cz,registered,18.11.2026,373,正常注册，373天后到期
5b.cz,registered,02.04.2026,143,正常注册，143天后到期
5c.cz,registered,14.03.2026,124,正常注册，124天后到期
5d.cz,registered,16.02.2026,98,正常注册，98天后到期
5e.cz,registered,09.08.2026,272,正常注册，272天后到期
5f.cz,registered,21.04.2026,162,正常注册，162天后到期
5g.cz,registered,28.07.2026,260,正常注册，260天后到期
5h.cz,registered,26.11.2026,381,正常注册，381天后到期
5i.cz,expiring_soon,03.01.2026,54,即将到期（54天）
5j.cz,registered,21.04.2026,162,正常注册，162天后到期
5k.cz,registered,31.03.2026,141,正常注册，141天后到期
5l.cz,registered,23.11.2026,378,正常注册，378天后到期
5m.cz,registered,14.11.2026,369,正常注册，369天后到期
5n.cz,registered,21.04.2026,162,正常注册，162天后到期
5o.cz,registered,21.04.2026,162,正常注册，162天后到期
5p.cz,registered,10.10.2026,334,正常注册，334天后到期
5q.cz,registered,21.04.2026,162,正常注册，162天后到期
5r.cz,registered,27.06.2026,229,正常注册，229天后到期
5s.cz,registered,03.10.2026,327,正常注册，327天后到期
5t.cz,registered,23.11.2026,378,正常注册，378天后到期
5u.cz,registered,31.01.2026,82,正常注册，82天后到期
5v.cz,expiring_soon,28.12.2025,48,即将到期（48天）
5w.cz,expiring_soon,17.12.2025,37,即将到期（37天）
5x.cz,expiring_soon,03.01.2026,54,即将到期（54天）
5y.cz,registered,21.04.2026,162,正常注册，162天后到期
5z.cz,registered,31.01.2026,82,正常注册，82天后到期
60.cz,registered,26.01.2027,442,正常注册，442天后到期
61.cz,registered,24.09.2026,318,正常注册，318天后到期
62.cz,registered,24.09.2026,318,正常注册，318天后到期
63.cz,expiring_soon,05.01.2026,56,即将到期（56天）
64.cz,registered,27.12.2030,1873,正常注册，1873天后到期
65.cz,registered,01.02.2026,83,正常注册，83天后到期
66.cz,registered,20.10.2026,344,正常注册，344天后到期
67.cz,registered,08.07.2026,240,正常注册，240天后到期
68.cz,registered,22.01.2026,73,正常注册，73天后到期
69.cz,registered,03.02.2026,85,正常注册，85天后到期
6a.cz,registered,02.10.2027,691,正常注册，691天后到期
6b.cz,registered,21.04.2026,162,正常注册，162天后到期
6c.cz,registered,08.02.2026,90,正常注册，90天后到期
6d.cz,registered,03.06.2026,205,正常注册，205天后到期
6e.cz,registered,21.04.2026,162,正常注册，162天后到期
6f.cz,registered,21.04.2026,162,正常注册，162天后到期
6g.cz,expiring_soon,07.01.2026,58,即将到期（58天）
6h.cz,registered,21.06.2026,223,正常注册，223天后到期
6i.cz,expiring_soon,03.01.2026,54,即将到期（54天）
6j.cz,registered,21.04.2026,162,正常注册，162天后到期
6k.cz,registered,25.08.2026,288,正常注册，288天后到期
6l.cz,registered,30.01.2026,81,正常注册，81天后到期
6m.cz,registered,31.01.2026,82,正常注册，82天后到期
6n.cz,registered,21.06.2026,223,正常注册，223天后到期
6o.cz,registered,21.04.2026,162,正常注册，162天后到期
6p.cz,registered,03.10.2026,327,正常注册，327天后到期
6q.cz,registered,10.10.2026,334,正常注册，334天后到期
6r.cz,registered,21.04.2029,1258,正常注册，1258天后到期
6s.cz,registered,21.04.2029,1258,正常注册，1258天后到期
6t.cz,registered,19.02.2026,101,正常注册，101天后到期
6u.cz,registered,21.04.2026,162,正常注册，162天后到期
6v.cz,registered,25.04.2026,166,正常注册，166天后到期
6w.cz,registered,04.03.2026,114,正常注册，114天后到期
6x.cz,registered,01.12.2026,386,正常注册，386天后到期
6y.cz,registered,21.04.2026,162,正常注册，162天后到期
6z.cz,registered,31.01.2026,82,正常注册，82天后到期
70.cz,registered,11.05.2026,182,正常注册，182天后到期
71.cz,registered,05.09.2026,299,正常注册，299天后到期
72.cz,registered,19.06.2026,221,正常注册，221天后到期
73.cz,registered,15.06.2026,217,正常注册，217天后到期
74.cz,registered,23.09.2034,3239,正常注册，3239天后到期
75.cz,expiring_soon,10.12.2025,30,即将到期（30天）
76.cz,registered,08.05.2027,544,正常注册，544天后到期
77.cz,registered,21.04.2026,162,正常注册，162天后到期
78.cz,registered,24.09.2026,318,正常注册，318天后到期
79.cz,registered,03.07.2026,235,正常注册，235天后到期
7a.cz,registered,02.10.2027,691,正常注册，691天后到期
7b.cz,registered,31.01.2027,447,正常注册，447天后到期
7c.cz,registered,02.04.2026,143,正常注册，143天后到期
7d.cz,registered,12.10.2027,701,正常注册，701天后到期
7e.cz,registered,04.02.2028,816,正常注册，816天后到期
7f.cz,registered,30.10.2027,719,正常注册，719天后到期
7g.cz,expired,19.10.2025,-22,已过期（22天前）
7h.cz,registered,21.06.2026,223,正常注册，223天后到期
7i.cz,registered,22.08.2026,285,正常注册，285天后到期
7j.cz,registered,21.06.2026,223,正常注册，223天后到期
7k.cz,registered,12.05.2032,2375,正常注册，2375天后到期
7l.cz,registered,21.06.2026,223,正常注册，223天后到期
7m.cz,registered,03.04.2026,144,正常注册，144天后到期
7n.cz,registered,21.04.2026,162,正常注册，162天后到期
7o.cz,registered,21.04.2026,162,正常注册，162天后到期
7p.cz,registered,01.09.2026,295,正常注册，295天后到期
7q.cz,registered,31.01.2026,82,正常注册，82天后到期
7r.cz,registered,27.06.2026,229,正常注册，229天后到期
7s.cz,registered,10.01.2026,61,正常注册，61天后到期
7t.cz,registered,30.01.2026,81,正常注册，81天后到期
7u.cz,registered,09.02.2028,821,正常注册，821天后到期
7v.cz,registered,31.01.2026,82,正常注册，82天后到期
7w.cz,registered,03.03.2026,113,正常注册，113天后到期
7x.cz,registered,21.08.2026,284,正常注册，284天后到期
7y.cz,registered,05.06.2026,207,正常注册，207天后到期
7z.cz,expiring_soon,26.11.2025,16,即将到期（16天）
80.cz,registered,27.07.2026,259,正常注册，259天后到期
81.cz,registered,03.10.2026,327,正常注册，327天后到期
82.cz,registered,24.09.2026,318,正常注册，318天后到期
83.cz,registered,28.02.2026,110,正常注册，110天后到期
84.cz,registered,14.01.2027,430,正常注册，430天后到期
85.cz,registered,24.09.2026,318,正常注册，318天后到期
86.cz,registered,24.09.2026,318,正常注册，318天后到期
87.cz,registered,08.09.2026,302,正常注册，302天后到期
88.cz,registered,01.06.2026,203,正常注册，203天后到期
89.cz,registered,08.06.2026,210,正常注册，210天后到期
8a.cz,registered,26.02.2029,1204,正常注册，1204天后到期
8b.cz,registered,24.10.2027,713,正常注册，713天后到期
8c.cz,registered,02.08.2026,265,正常注册，265天后到期
8d.cz,registered,02.05.2027,538,正常注册，538天后到期
8e.cz,registered,21.06.2026,223,正常注册，223天后到期
8f.cz,registered,21.04.2026,162,正常注册，162天后到期
8g.cz,expired,10.11.2025,0,已过期（0天前）
8h.cz,registered,31.01.2026,82,正常注册，82天后到期
8i.cz,expiring_soon,03.01.2026,54,即将到期（54天）
8j.cz,registered,21.04.2026,162,正常注册，162天后到期
8k.cz,registered,21.04.2026,162,正常注册，162天后到期
8l.cz,registered,21.06.2026,223,正常注册，223天后到期
8m.cz,registered,05.04.2026,146,正常注册，146天后到期
8n.cz,registered,21.06.2026,223,正常注册，223天后到期
8o.cz,registered,03.12.2026,388,正常注册，388天后到期
8p.cz,registered,31.01.2026,82,正常注册，82天后到期
8q.cz,registered,06.04.2027,512,正常注册，512天后到期
8r.cz,registered,21.04.2026,162,正常注册，162天后到期
8s.cz,registered,21.04.2026,162,正常注册，162天后到期
8t.cz,registered,30.01.2026,81,正常注册，81天后到期
8u.cz,registered,21.04.2026,162,正常注册，162天后到期
8v.cz,registered,04.10.2026,328,正常注册，328天后到期
8w.cz,registered,27.02.2026,109,正常注册，109天后到期
8x.cz,expiring_soon,03.01.2026,54,即将到期（54天）
8y.cz,registered,21.04.2026,162,正常注册，162天后到期
8z.cz,registered,31.01.2026,82,正常注册，82天后到期
90.cz,registered,03.07.2026,235,正常注册，235天后到期
91.cz,registered,24.09.2026,318,正常注册，318天后到期
92.cz,registered,24.09.2026,318,正常注册，318天后到期
93.cz,registered,24.09.2027,683,正常注册，683天后到期
94.cz,registered,24.09.2026,318,正常注册，318天后到期
95.cz,registered,05.04.2026,146,正常注册，146天后到期
96.cz,registered,27.09.2026,321,正常注册，321天后到期
97.cz,registered,07.02.2026,89,正常注册，89天后到期
98.cz,registered,20.08.2026,283,正常注册，283天后到期
99.cz,registered,08.10.2026,332,正常注册，332天后到期
9a.cz,registered,21.01.2026,72,正常注册，72天后到期
9b.cz,registered,22.11.2026,377,正常注册，377天后到期
9c.cz,registered,21.04.2026,162,正常注册，162天后到期
9d.cz,registered,23.11.2026,378,正常注册，378天后到期
9e.cz,registered,21.04.2026,162,正常注册，162天后到期
9f.cz,registered,21.04.2026,162,正常注册，162天后到期
9g.cz,registered,18.05.2028,920,正常注册，920天后到期
9h.cz,registered,21.04.2026,162,正常注册，162天后到期
9i.cz,registered,30.01.2026,81,正常注册，81天后到期
9j.cz,registered,21.04.2026,162,正常注册，162天后到期
9k.cz,registered,21.04.2033,2719,正常注册，2719天后到期
9l.cz,registered,14.07.2026,246,正常注册，246天后到期
9m.cz,registered,01.04.2026,142,正常注册，142天后到期
9n.cz,registered,21.06.2026,223,正常注册，223天后到期
9o.cz,registered,21.04.2026,162,正常注册，162天后到期
9p.cz,registered,14.03.2026,124,正常注册，124天后到期
9q.cz,registered,21.06.2027,588,正常注册，588天后到期
9r.cz,registered,21.06.2026,223,正常注册，223天后到期
9s.cz,registered,21.06.2026,223,正常注册，223天后到期
9t.cz,expiring_soon,03.01.2026,54,即将到期（54天）
9u.cz,registered,21.06.2026,223,正常注册，223天后到期
9v.cz,registered,30.01.2026,81,正常注册，81天后到期
9w.cz,registered,31.01.2026,82,正常注册，82天后到期
9x.cz,expiring_soon,16.12.2025,36,即将到期（36天）
9y.cz,registered,21.06.2026,223,正常注册，223天后到期
9z.cz,registered,31.01.2026,82,正常注册，82天后到期
a0.cz,registered,14.01.2026,65,正常注册，65天后到期
a1.cz,registered,04.02.2026,86,正常注册，86天后到期
a2.cz,expiring_soon,15.12.2025,35,即将到期（35天）
a3.cz,registered,23.04.2028,895,正常注册，895天后到期
a4.cz,registered,22.04.2028,894,正常注册，894天后到期
a5.cz,registered,25.01.2027,441,正常注册，441天后到期
a6.cz,registered,29.10.2027,718,正常注册，718天后到期
a7.cz,registered,07.08.2026,270,正常注册，270天后到期
a8.cz,registered,15.08.2026,278,正常注册，278天后到期
a9.cz,registered,26.07.2026,258,正常注册，258天后到期
aa.cz,registered,06.10.2026,330,正常注册，330天后到期
ab.cz,registered,12.10.2026,336,正常注册，336天后到期
ac.cz,registered,17.03.2028,858,正常注册，858天后到期
ad.cz,registered,18.03.2027,493,正常注册，493天后到期
ae.cz,registered,08.05.2026,179,正常注册，179天后到期
af.cz,expired,30.10.2025,-11,已过期（11天前）
ag.cz,registered,13.06.2026,215,正常注册，215天后到期
ah.cz,registered,24.12.2026,409,正常注册，409天后到期
ai.cz,registered,17.03.2026,127,正常注册，127天后到期
aj.cz,registered,24.10.2026,348,正常注册，348天后到期
ak.cz,registered,06.10.2026,330,正常注册，330天后到期
al.cz,expiring_soon,18.12.2025,38,即将到期（38天）
am.cz,registered,02.05.2026,173,正常注册，173天后到期
an.cz,registered,22.07.2026,254,正常注册，254天后到期
ao.cz,registered,05.11.2026,360,正常注册，360天后到期
ap.cz,registered,11.10.2027,700,正常注册，700天后到期
aq.cz,registered,17.03.2026,127,正常注册，127天后到期
ar.cz,registered,23.07.2026,255,正常注册，255天后到期
as.cz,registered,02.05.2026,173,正常注册，173天后到期
at.cz,registered,01.04.2026,142,正常注册，142天后到期
au.cz,registered,04.07.2026,236,正常注册，236天后到期
av.cz,registered,03.02.2026,85,正常注册，85天后到期
aw.cz,registered,12.03.2026,122,正常注册，122天后到期
ax.cz,registered,23.08.2026,286,正常注册，286天后到期
ay.cz,registered,06.03.2026,116,正常注册，116天后到期
az.cz,registered,07.03.2032,2309,正常注册，2309天后到期
b0.cz,registered,06.03.2026,116,正常注册，116天后到期
b1.cz,registered,06.02.2026,88,正常注册，88天后到期
b2.cz,registered,13.10.2026,337,正常注册，337天后到期
b3.cz,registered,10.08.2026,273,正常注册，273天后到期
b4.cz,registered,04.11.2026,359,正常注册，359天后到期
b5.cz,registered,25.01.2026,76,正常注册，76天后到期
b6.cz,registered,25.01.2026,76,正常注册，76天后到期
b7.cz,registered,24.03.2027,499,正常注册，499天后到期
b8.cz,registered,25.01.2026,76,正常注册，76天后到期
b9.cz,registered,08.02.2026,90,正常注册，90天后到期
ba.cz,registered,19.06.2026,221,正常注册，221天后到期
bb.cz,registered,02.05.2026,173,正常注册，173天后到期
bc.cz,expiring_soon,07.12.2025,27,即将到期（27天）
bd.cz,registered,18.05.2026,189,正常注册，189天后到期
be.cz,registered,31.08.2026,294,正常注册，294天后到期
bf.cz,registered,12.03.2026,122,正常注册，122天后到期
bg.cz,registered,25.04.2026,166,正常注册，166天后到期
bh.cz,registered,10.11.2026,365,正常注册，365天后到期
bi.cz,registered,07.03.2026,117,正常注册，117天后到期
bj.cz,registered,07.03.2026,117,正常注册，117天后到期
bk.cz,registered,10.10.2026,334,正常注册，334天后到期
bl.cz,registered,24.10.2026,348,正常注册，348天后到期
bm.cz,registered,19.03.2026,129,正常注册，129天后到期
bn.cz,registered,31.03.2026,141,正常注册，141天后到期
bo.cz,registered,31.03.2028,872,正常注册，872天后到期
bp.cz,registered,28.10.2026,352,正常注册，352天后到期
bq.cz,registered,14.01.2026,65,正常注册，65天后到期
br.cz,registered,23.06.2026,225,正常注册，225天后到期
bs.cz,registered,03.06.2026,205,正常注册，205天后到期
bt.cz,registered,13.03.2026,123,正常注册，123天后到期
bu.cz,registered,19.11.2026,374,正常注册，374天后到期
bv.cz,registered,17.03.2026,127,正常注册，127天后到期
bw.cz,registered,04.06.2026,206,正常注册，206天后到期
bx.cz,registered,16.05.2028,918,正常注册，918天后到期
by.cz,registered,31.03.2028,872,正常注册，872天后到期
bz.cz,registered,28.05.2026,199,正常注册，199天后到期
c0.cz,registered,21.04.2026,162,正常注册，162天后到期
c1.cz,registered,05.11.2026,360,正常注册，360天后到期
c2.cz,registered,02.02.2026,84,正常注册，84天后到期
c3.cz,registered,21.12.2026,406,正常注册，406天后到期
c4.cz,registered,24.01.2031,1901,正常注册，1901天后到期
c5.cz,registered,30.04.2026,171,正常注册，171天后到期
c6.cz,registered,25.01.2026,76,正常注册，76天后到期
c7.cz,registered,16.05.2026,187,正常注册，187天后到期
c8.cz,registered,12.08.2026,275,正常注册，275天后到期
c9.cz,registered,25.01.2027,441,正常注册，441天后到期
ca.cz,registered,07.03.2030,1578,正常注册，1578天后到期
cb.cz,registered,07.10.2026,331,正常注册，331天后到期
cc.cz,registered,18.03.2026,128,正常注册，128天后到期
cd.cz,registered,13.03.2026,123,正常注册，123天后到期
ce.cz,registered,13.10.2034,3259,正常注册，3259天后到期
cf.cz,registered,31.03.2026,141,正常注册，141天后到期
cg.cz,registered,07.03.2030,1578,正常注册，1578天后到期
ch.cz,registered,05.09.2026,299,正常注册，299天后到期
ci.cz,registered,17.06.2026,219,正常注册，219天后到期
cj.cz,registered,28.05.2026,199,正常注册，199天后到期
ck.cz,registered,12.03.2026,122,正常注册，122天后到期
cl.cz,registered,18.03.2026,128,正常注册，128天后到期
cm.cz,registered,17.06.2026,219,正常注册，219天后到期
cn.cz,registered,12.03.2026,122,正常注册，122天后到期
co.cz,registered,25.03.2031,1961,正常注册，1961天后到期
cp.cz,registered,21.10.2028,1076,正常注册，1076天后到期
cq.cz,registered,26.10.2026,350,正常注册，350天后到期
cr.cz,registered,18.03.2026,128,正常注册，128天后到期
cs.cz,registered,29.10.2027,718,正常注册，718天后到期
ct.cz,registered,24.10.2026,348,正常注册，348天后到期
cu.cz,registered,25.03.2026,135,正常注册，135天后到期
cv.cz,registered,07.03.2028,848,正常注册，848天后到期
cw.cz,registered,24.10.2026,348,正常注册，348天后到期
cx.cz,registered,09.05.2026,180,正常注册，180天后到期
cy.cz,registered,27.06.2026,229,正常注册，229天后到期
cz.cz,registered,17.03.2030,1588,正常注册，1588天后到期
d0.cz,registered,21.06.2026,223,正常注册，223天后到期
d1.cz,registered,10.10.2026,334,正常注册，334天后到期
d2.cz,registered,19.01.2026,70,正常注册，70天后到期
d3.cz,registered,07.11.2026,362,正常注册，362天后到期
d4.cz,registered,14.11.2026,369,正常注册，369天后到期
d5.cz,registered,07.11.2026,362,正常注册，362天后到期
d6.cz,registered,26.01.2026,77,正常注册，77天后到期
d7.cz,registered,29.09.2026,323,正常注册，323天后到期
d8.cz,registered,07.11.2026,362,正常注册，362天后到期
d9.cz,registered,29.01.2026,80,正常注册，80天后到期
da.cz,registered,27.11.2026,382,正常注册，382天后到期
db.cz,registered,11.10.2026,335,正常注册，335天后到期
dc.cz,registered,12.10.2026,336,正常注册，336天后到期
